name,tear,score,rate
허거덩#0303,C,"1,993 LP",211승 136패 60.8%
dlwlrma22#KR1,C,"1,940 LP",288승 202패 58.8%
Radiohead#KR1,C,"1,764 LP",393승 331패 54.3%
Moham#모함이,C,"1,712 LP",532승 451패 54.1%
TT HOYA#윤용호,C,"1,701 LP",333승 253패 56.8%
XiaoHao#2024,C,"1,674 LP",256승 161패 61.4%
카 엘#0211,C,"1,609 LP",264승 196패 57.4%
NS Callme#KR1,C,"1,600 LP",491승 421패 53.8%
정지훈#0828,C,"1,573 LP",384승 307패 55.6%
HamBak#5770,C,"1,569 LP",318승 240패 57.0%
xycg#KR1,C,"1,550 LP",434승 364패 54.4%
Karis#BRO,C,"1,549 LP",322승 263패 55.0%
qazwsxedcrfvdf#KR1,C,"1,528 LP",276승 205패 57.4%
숟가락전사#KR1,C,"1,517 LP",419승 352패 54.3%
DRX#7267,C,"1,513 LP",417승 354패 54.1%
hwa i tings#KR1,C,"1,503 LP",630승 564패 52.8%
luckyqqqq#KR15,C,"1,485 LP",379승 305패 55.4%
플레이리스트겨울#KR1,C,"1,469 LP",307승 248패 55.3%
TT HOYA#HOYA,C,"1,461 LP",247승 186패 57.0%
Arnold Hur#KR1,C,"1,446 LP",371승 295패 55.7%
livinli#KR1,C,"1,429 LP",226승 147패 60.6%
읽씹맨#KR1,C,"1,426 LP",461승 395패 53.9%
Blue Oasis#KR1,C,"1,410 LP",183승 143패 56.1%
Lure#0516,C,"1,401 LP",384승 311패 55.3%
Samver#7777,C,"1,400 LP",358승 295패 54.8%
불 독#KDF,C,"1,386 LP",203승 138패 59.5%
gougoujingzhang#KR1,C,"1,370 LP",358승 300패 54.4%
ShowMaker#DKDK,C,"1,366 LP",228승 177패 56.3%
조사병단병사1#1484,C,"1,365 LP",366승 301패 54.9%
노장 두티#KR1,C,"1,361 LP",262승 202패 56.5%
태 윤#KDF,C,"1,361 LP",314승 260패 54.7%
Effort#4444,C,"1,359 LP",241승 195패 55.3%
Minous#차진아,C,"1,358 LP",308승 248패 55.4%
타 잔#KR1,C,"1,356 LP",308승 246패 55.6%
관 모#KR1,C,"1,348 LP",592승 538패 52.4%
Quad#0310,C,"1,348 LP",293승 214패 57.8%
뚱뚱이#Roame,C,"1,346 LP",380승 317패 54.5%
Winner#0327,C,"1,344 LP",156승 100패 60.9%
밤이싫어#샌드박스,C,"1,342 LP",426승 360패 54.2%
강성인#0101,C,"1,331 LP",313승 254패 55.2%
y1qunsb#KR1,C,"1,328 LP",667승 603패 52.5%
나 비#77777,C,"1,320 LP",260승 205패 55.9%
DRX kyeahoo#0813,C,"1,315 LP",412승 355패 53.7%
jinyuhuahuo#6051,C,"1,311 LP",370승 312패 54.3%
당신은 사랑해요#KR1,C,"1,303 LP",428승 372패 53.5%
Sad mood#KR1,C,"1,302 LP",242승 189패 56.1%
광연44#KR1,C,"1,290 LP",165승 94패 63.7%
Azhy#KR1,C,"1,287 LP",288승 227패 55.9%
IIrrooGG#Gori,C,"1,285 LP",166승 101패 62.2%
대광 #God,C,"1,283 LP",343승 272패 55.8%
nikett#KR16,C,"1,282 LP",427승 330패 56.4%
123156466#KR1,C,"1,279 LP",232승 176패 56.9%
따봉 람머스#KDF1,C,"1,277 LP",259승 206패 55.7%
호떡붕어빵#KR1,C,"1,274 LP",207승 154패 57.3%
xiayoujie#KR1,C,"1,269 LP",332승 267패 55.4%
homem aranha#KR1,C,"1,264 LP",224승 168패 57.1%
Samver#BRO,C,"1,257 LP",310승 248패 55.6%
Mofuweizhen#1225,C,"1,256 LP",228승 165패 58.0%
enenenenang#KR1,C,"1,254 LP",423승 366패 53.6%
Way#한기리,C,"1,249 LP",316승 272패 53.7%
Kingen#KR1,C,"1,249 LP",361승 304패 54.3%
따봉 람머스#KR0,C,"1,246 LP",295승 233패 55.9%
헤 돈#KR1,C,"1,243 LP",205승 140패 59.4%
i want to pro#KR1,C,"1,243 LP",360승 279패 56.3%
Hype#변정현,C,"1,243 LP",298승 240패 55.4%
Reoki#KR1,C,"1,239 LP",466승 405패 53.5%
Rooster#2005,C,"1,236 LP",379승 313패 54.8%
Ego BattIe#KR1,C,"1,235 LP",165승 131패 55.7%
HLE Life Esports#HLE,C,"1,224 LP",269승 221패 54.9%
LFT DICE#1234,C,"1,220 LP",265승 204패 56.5%
kiin#KR1,C,"1,216 LP",198승 135패 59.5%
안죽기장인#123,C,"1,215 LP",270승 209패 56.4%
FA ady#KR1,C,"1,215 LP",585승 538패 52.1%
Deft#8366,C,"1,212 LP",406승 355패 53.4%
HyeonJu#ZZang,C,"1,212 LP",250승 201패 55.4%
DK Thanatos#KR16,C,"1,211 LP",268승 208패 56.3%
T1 Smash#KR3,C,"1,210 LP",235승 192패 55.0%
Morgan#82748,C,"1,209 LP",231승 178패 56.5%
haiyaoduojiu#1111,C,"1,208 LP",727승 671패 52.0%
르세라핌 정훈#샌드박스16,C,"1,207 LP",177승 112패 61.2%
C9 Berserker#KR1,C,"1,203 LP",200승 136패 59.5%
Loopy#1813,C,"1,201 LP",343승 290패 54.2%
JJHXHUN#6486,C,"1,200 LP",757승 700패 52.0%
TolanD23#KR1,C,"1,200 LP",675승 629패 51.8%
Morgan#KR1,C,"1,197 LP",156승 109패 58.9%
라 코#라 코,C,"1,195 LP",226승 181패 55.5%
DK Lucid#KR1,C,"1,194 LP",304승 258패 54.1%
텐동맨#KR1,C,"1,193 LP",213승 161패 57.0%
신이 되는 길요#KR1,C,"1,190 LP",366승 273패 57.3%
piop5#KR15,C,"1,189 LP",316승 264패 54.5%
DK Sharvel#KR1,C,"1,186 LP",527승 475패 52.6%
행운이 따르기를#3062,C,"1,180 LP",279승 230패 54.8%
God Thunder#KR07,C,"1,180 LP",556승 507패 52.3%
건물 사이 장미#KR1,C,"1,168 LP",217승 171패 55.9%
Burdol2#KR1,C,"1,168 LP",208승 153패 57.6%
qiowirz#2045,C,"1,163 LP",535승 482패 52.6%
subintnqls06#Tim,C,"1,162 LP",193승 139패 58.1%
luck dog#KR1,C,"1,160 LP",260승 213패 55.0%
raptor#전어진,C,"1,153 LP",433승 379패 53.3%
stay#2002,C,"1,151 LP",337승 284패 54.3%
Clozer#KRP,C,"1,146 LP",191승 127패 60.1%
한알한알달#KR1,C,"1,144 LP",394승 325패 54.8%
누누와 윌럼프#3679,C,"1,144 LP",141승 80패 63.8%
yskmismyson#KR1,C,"1,144 LP",241승 199패 54.8%
괴물쥐#고라파덕,C,"1,142 LP",334승 262패 56.0%
NS Jiwoo#KR1,C,"1,141 LP",338승 292패 53.7%
M G#2821,C,"1,140 LP",488승 428패 53.3%
키보드에음료쏟아서고장내는이도윤#KR1,C,"1,138 LP",245승 199패 55.2%
Blaber#KR1,C,"1,138 LP",307승 266패 53.6%
의 주#2629,C,"1,134 LP",138승 91패 60.3%
langmanbusi#KR1,C,"1,134 LP",430승 376패 53.3%
Pooh#9804,C,"1,132 LP",439승 393패 52.8%
DK Rahel#KR1,C,"1,130 LP",322승 268패 54.6%
Aileri#KR1,C,"1,128 LP",281승 236패 54.4%
Zac#KR1,C,"1,126 LP",327승 274패 54.4%
결혼말고는다했나봐#KR2,C,"1,125 LP",574승 526패 52.2%
칼과 창 방패#KR1,C,"1,124 LP",404승 355패 53.2%
Mute#1938,C,"1,124 LP",309승 279패 52.6%
붐칙칵칙#KR1,C,"1,122 LP",521승 469패 52.6%
90 마린#KR1,C,"1,120 LP",398승 336패 54.2%
AYELGODLIKEMODE#KR1,C,"1,118 LP",246승 159패 60.7%
Shadow Nia#KR1,C,"1,116 LP",212승 150패 58.6%
noobldrzzzzz#666,C,"1,115 LP",343승 299패 53.4%
거리에서#KR666,C,"1,111 LP",213승 149패 58.8%
K love Jiao#KR1,C,"1,109 LP",290승 241패 54.6%
Bad End#KR1,C,"1,109 LP",447승 394패 53.2%
징징이는징징징징#징징징징,C,"1,108 LP",788승 731패 51.9%
뇌 녹 사#KR1,C,"1,105 LP",338승 291패 53.7%
HamBak#7150,C,"1,099 LP",216승 161패 57.3%
용병456#KR1,C,"1,096 LP",334승 284패 54.0%
UmTi#602,C,"1,095 LP",178승 136패 56.7%
피자사줬더니올리브만빼먹는이도윤#KR1,C,"1,094 LP",220승 167패 56.8%
백 호#9005,C,"1,091 LP",468승 413패 53.1%
add astra#KR1,C,"1,091 LP",191승 137패 58.2%
Upgrade 할거야#0509,C,"1,090 LP",441승 394패 52.8%
Bae Suzy#KR1,C,"1,090 LP",334승 290패 53.5%
hanni fans#tw01,C,"1,089 LP",174승 108패 61.7%
ahahahhhhhh#招人打职业,C,"1,089 LP",354승 303패 53.9%
LSB#KRP,C,"1,088 LP",232승 184패 55.8%
땅굴팀 미드#KR1,C,"1,085 LP",197승 158패 55.5%
BRO Pollu#pollu,C,"1,085 LP",561승 514패 52.2%
Chu성훈#KR1,C,"1,084 LP",485승 445패 52.2%
소년가장 원딜#KR1,C,"1,083 LP",305승 264패 53.6%
JUGKlNG#KR1,C,"1,081 LP",264승 194패 57.6%
Mireu#Mid,C,"1,076 LP",186승 126패 59.6%
으끄으끄#KR1,C,"1,074 LP",352승 283패 55.4%
300warriors#김민성,C,"1,070 LP",433승 373패 53.7%
잭장군 이현#KR1,C,"1,069 LP",303승 255패 54.3%
Cloud#2OO7,C,"1,067 LP",766승 712패 51.8%
HLE Loki#4360,C,"1,067 LP",498승 451패 52.5%
dyjkbysb#KR1,C,"1,066 LP",179승 127패 58.5%
Smash#KR2,C,"1,064 LP",164승 138패 54.3%
쪼렙이다말로하자#2024,C,"1,061 LP",425승 346패 55.1%
g g#111,C,"1,060 LP",229승 184패 55.4%
Indexy#KR1,C,"1,058 LP",361승 320패 53.0%
Libera#zzz,C,"1,057 LP",136승 90패 60.2%
송도 톰 하디#KR1,C,"1,057 LP",163승 103패 61.3%
T1 Gumayusi#KR1,C,"1,057 LP",298승 254패 54.0%
BRO Enosh#KR1,C,"1,054 LP",676승 631패 51.7%
Daystar#지띵이,C,"1,053 LP",163승 109패 59.9%
NS Carim#KR1,C,"1,049 LP",169승 125패 57.5%
really luv u#KR1,C,"1,048 LP",447승 395패 53.1%
DRX#6698,C,"1,046 LP",353승 299패 54.1%
나의본색#KR1,C,"1,043 LP",303승 244패 55.4%
poome#KR1,C,"1,043 LP",231승 183패 55.8%
창문열지마 추워#KR23,C,"1,042 LP",408승 363패 52.9%
Witt#KR2,C,"1,039 LP",136승 87패 61.0%
NEED HER#KR1,C,"1,038 LP",432승 389패 52.6%
K T#롤스터,C,"1,037 LP",236승 188패 55.7%
벌꿀허태범#9999,C,"1,035 LP",391승 348패 52.9%
쪼렙이다말로하자#KR1,C,"1,032 LP",273승 237패 53.5%
라쿤99#KR1,C,"1,032 LP",200승 155패 56.3%
Forest#0322,C,"1,032 LP",548승 512패 51.7%
