name,tear,rate,score
스트레스유발협곡,CHALLENGER,192승 118패 (61.94%),2067점
BRO Hena,CHALLENGER,362승 290패 (55.52%),1713점
Radiohead,CHALLENGER,341승 293패 (53.79%),1696점
JUGKlNG,CHALLENGER,226승 162패 (58.25%),1641점
따봉 람미스,CHALLENGER,230승 167패 (57.93%),1617점
HLE Roamer,CHALLENGER,293승 235패 (55.49%),1577점
asd132,CHALLENGER,186승 123패 (60.19%),1555점
Bae Suzy,CHALLENGER,231승 175패 (56.90%),1536점
건물 사이 장미,CHALLENGER,207승 152패 (57.66%),1530점
수명단축협곡,CHALLENGER,238승 188패 (55.87%),1474점
Happynewyear1,CHALLENGER,274승 208패 (56.85%),1454점
타 잔,CHALLENGER,243승 188패 (56.38%),1439점
니카 모드,CHALLENGER,243승 188패 (56.38%),1436점
Khae1,CHALLENGER,172승 124패 (58.11%),1431점
Noob piss off,CHALLENGER,379승 324패 (53.91%),1410점
영차영차화이팅,CHALLENGER,275승 227패 (54.78%),1408점
KDF 태윤,CHALLENGER,283승 231패 (55.06%),1401점
Arnold Hur,CHALLENGER,196승 128패 (60.49%),1400점
chainasawman,CHALLENGER,313승 249패 (55.69%),1389점
윤용호,CHALLENGER,250승 192패 (56.56%),1379점
jia xiang di,CHALLENGER,222승 138패 (61.67%),1374점
HLE Lure,CHALLENGER,294승 232패 (55.89%),1373점
nfangz mimei,CHALLENGER,166승 116패 (58.87%),1371점
kiin,CHALLENGER,170승 117패 (59.23%),1368점
으끄으끄,CHALLENGER,308승 258패 (54.42%),1355점
어쩌라고맞짱뜰까,CHALLENGER,158승 110패 (58.96%),1347점
Gen G Casting,CHALLENGER,225승 170패 (56.96%),1345점
KDF Bull,CHALLENGER,380승 333패 (53.30%),1340점
BRO Karis,CHALLENGER,242승 192패 (55.76%),1337점
나 금쪽이 광대,CHALLENGER,248승 188패 (56.88%),1328점
kabmah,CHALLENGER,166승 102패 (61.94%),1327점
DK Sharvel,CHALLENGER,443승 390패 (53.18%),1318점
읽씹맨,CHALLENGER,393승 336패 (53.91%),1317점
Blaber,CHALLENGER,291승 246패 (54.19%),1316점
kctz,CHALLENGER,213승 154패 (58.04%),1316점
T1 Smash1,CHALLENGER,214승 170패 (55.73%),1312점
God Thunder,CHALLENGER,206승 158패 (56.59%),1311점
NS Calix,CHALLENGER,286승 244패 (53.96%),1309점
바이탈,CHALLENGER,243승 199패 (54.98%),1304점
hhhhbbbb,CHALLENGER,193승 137패 (58.48%),1297점
Chinata,CHALLENGER,357승 306패 (53.85%),1296점
PandaCCC,CHALLENGER,372승 284패 (56.71%),1285점
BRO Effort,CHALLENGER,198승 159패 (55.46%),1279점
Kingen,CHALLENGER,248승 197패 (55.73%),1277점
luckyqqqq,CHALLENGER,233승 185패 (55.74%),1275점
NS Callme,CHALLENGER,355승 308패 (53.54%),1270점
U move me,CHALLENGER,418승 351패 (54.36%),1266점
qazwsxedcrfvdf,CHALLENGER,192승 131패 (59.44%),1264점
살퀸레,CHALLENGER,308승 259패 (54.32%),1253점
C9 EMENES,CHALLENGER,256승 196패 (56.64%),1253점
자신을 통제해라,CHALLENGER,247승 180패 (57.85%),1249점
aaaddddd,CHALLENGER,268승 215패 (55.49%),1247점
daoxinsomoking,CHALLENGER,277승 219패 (55.85%),1244점
댕청잇,CHALLENGER,135승 94패 (58.95%),1239점
